id,date_intervention,rapport,ordre_travail_id,created_at,technicien_id,statut,date_debut,date_fin,updated_at,problem_description,priority,estimated_duration_minutes,required_materials,machine_id,requested_at,approved_by,approved_at,rejection_reason,actual_failure_type,ml_prediction_matched,retrained,machine_category,symptoms,problem_start_time,frequency,operating_state,load_level,temperature,impact,estimated_loss,similar_issue_before,suggested_cause,suggested_priority,risk_score,intervention_type,root_cause_category,root_cause_description,actions_performed,parts_replaced,tools_used,machine_status_after,plan_hypothesis,check_resolved,check_verification_method,act_preventive_actions,act_recommendations
1,2026-02-15 06:15:53+00,Outil en fin de vie détecté (230 min). Remplacement immédiat réalisé pour éviter défaillance en production. Contrôle qualité post-remplacement : OK.,1,2026-02-15 04:15:53+00,1,VALIDATED,2026-02-15 06:15:53+00,2026-02-15 07:15:53+00,2026-02-15 07:15:53+00,Usure outil critique détectée sur Dépileur / Card Loader (ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_D_PILEUR_CARD_LOADER_TWF_001). Tool wear: 230 min. Remplacement préventif requis avant défaillance.,HAUTE,80,"Tête de perçage complète (réf. TPC-6269), Bague d'étanchéité",5100,2026-02-15 04:15:53+00,5,2026-02-15 07:15:53+00,"""""",TWF,1,0,CMS,Vibrations anormales détectées lors de l'usinage. Bruit inhabituel au niveau de la broche.,2026-02-14 21:15:53+00,Première occurrence,En production,87,313K,Qualité dégradée,969 EUR,1,Conditions de coupe non optimales (vitesse/avance),HAUTE,75/100,PREVENTIVE,USURE_OUTIL,Accumulation de copeaux ayant accéléré l'usure,"1. Arrêt machine sécurisé
2. Démontage de l'outil usé
3. Nettoyage du porte-outil
4. Installation du nouvel outil
5. Calibration et test de coupe
6. Validation qualité","Tête de perçage complète (réf. TPC-6269), Bague d'étanchéité","Tournevis dynamométrique, Pied à coulisse digital, Lampe stroboscopique",OPERATIONNELLE,Hypothèse : L'usure prématurée est due à une utilisation continue au-delà du seuil recommandé (230 min > 200 min). Le matériau usiné pourrait également contribuer à l'abrasion accélérée.,1,Test de coupe sur pièce échantillon,Optimiser les paramètres de coupe pour réduire l'usure. Passer en revue le programme d'usinage.,Envisager l'utilisation d'outils revêtus TiN pour une durée de vie prolongée. Budget estimé : +15% par outil mais -30% de remplacements.
2,2026-01-23 03:03:02+00,Usure outil (TWF) détectée : 243 min d'utilisation. Remplacement de la tête de coupe effectué. Tests post-intervention conformes. Machine opérationnelle.,2,2026-01-22 23:03:02+00,2,VALIDATED,2026-01-23 03:03:02+00,2026-01-23 06:03:02+00,2026-01-23 06:03:02+00,Usure outil critique détectée sur Sérigraphie DEK MPM (ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_S_RIGRAPHIE_DEK_MPM_TWF_001). Tool wear: 243 min. Remplacement préventif requis avant défaillance.,HAUTE,119,"Fraise en bout HSS Ø6mm (réf. FEB-9048), Vis de serrage M6",5101,2026-01-22 23:03:02+00,6,2026-01-23 01:03:02+00,"""""",TWF,1,0,CMS,Précision dimensionnelle dégradée. Pièces hors cotes depuis 2 heures.,2026-01-22 21:03:02+00,Première occurrence,En ralenti,90,309K,Risque de casse outil,812 EUR,1,Fréquence de remplacement sous-estimée dans le plan de maintenance,HAUTE,71/100,PREVENTIVE,USURE_OUTIL,Fréquence de remplacement sous-estimée dans le plan de maintenance,"1. Consignation machine
2. Remplacement foret/fraise
3. Vérification alignement broche
4. Test à vide
5. Test en charge
6. Remise en service","Fraise en bout HSS Ø6mm (réf. FEB-9048), Vis de serrage M6","Kit de démontage broche, Multimètre, Analyseur de vibrations",OPERATIONNELLE,Hypothèse : L'usure prématurée est due à une utilisation continue au-delà du seuil recommandé (243 min > 200 min). Le matériau usiné pourrait également contribuer à l'abrasion accélérée.,1,Test de coupe sur pièce échantillon,Réduire l'intervalle de remplacement d'outil de 250 à 180 min. Ajouter un contrôle visuel à chaque changement d'équipe.,Étudier la possibilité de passer à des outils carbure monobloc pour les opérations haute cadence.
3,2026-02-03 19:05:57+00,"Suite à détection automatique TWF (237 min), remplacement préventif de l'ensemble outil-porte-outil. Alignement vérifié, paramètres machine réajustés.",3,2026-02-03 13:05:57+00,3,VALIDATED,2026-02-03 19:05:57+00,2026-02-03 22:05:57+00,2026-02-03 22:05:57+00,Usure outil critique détectée sur Pick & Place (ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_POSE_PICK_PLACE_TWF_001). Tool wear: 237 min. Remplacement préventif requis avant défaillance.,HAUTE,86,"Lame de coupe tungstène (réf. LCT-4282), Roulement à billes broche",5102,2026-02-03 13:05:57+00,7,2026-02-03 17:05:57+00,"""""",TWF,1,0,CMS,Échauffement anormal de la tête d'outil. Température de process élevée.,2026-02-03 09:05:57+00,Première occurrence,Démarrage de poste,86,309K,Qualité dégradée,614 EUR,1,Abrasion excessive due au matériau usiné (alliage dur),HAUTE,91/100,PREVENTIVE,USURE_OUTIL,Abrasion excessive due au matériau usiné (alliage dur),"1. Arrêt machine sécurisé
2. Démontage de l'outil usé
3. Nettoyage du porte-outil
4. Installation du nouvel outil
5. Calibration et test de coupe
6. Validation qualité","Lame de coupe tungstène (réf. LCT-4282), Roulement à billes broche","Clé Allen, Extracteur d'outil, Jauge de profondeur, Oscilloscope portable",OPERATIONNELLE,Hypothèse : L'usure prématurée est due à une utilisation continue au-delà du seuil recommandé (237 min > 200 min). Le matériau usiné pourrait également contribuer à l'abrasion accélérée.,1,Test en charge 30 min,Former les opérateurs à la détection précoce des signes d'usure. Créer une checklist de début de poste.,Installer un système de monitoring d'usure en temps réel sur les machines critiques de cette ligne.
4,2026-02-07 02:13:47+00,"Intervention préventive suite à alerte TWF. Usure mesurée : 242 min. Démontage, nettoyage du porte-outil, remplacement de la lame et recalibration effectués.",4,2026-02-06 19:13:47+00,4,VALIDATED,2026-02-07 02:13:47+00,2026-02-07 04:13:47+00,2026-02-07 04:13:47+00,Usure outil critique détectée sur Four de Refusion (Reflow Oven) (ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_FOUR_DE_REFUSION_REFLOW_OVEN_TWF_001). Tool wear: 242 min. Remplacement préventif requis avant défaillance.,HAUTE,113,"Tête de perçage complète (réf. TPC-3314), Bague d'étanchéité",5103,2026-02-06 19:13:47+00,8,2026-02-06 20:13:47+00,"""""",TWF,1,1,CMS,Augmentation progressive du couple moteur. Alertes répétées sur le moniteur de charge.,2026-02-06 17:13:47+00,Occasionnel,Fin de lot,66,313K,Retard de production,3504 EUR,0,Accumulation de copeaux ayant accéléré l'usure,HAUTE,74/100,PREVENTIVE,USURE_OUTIL,Conditions de coupe non optimales (vitesse/avance),"1. Consignation machine
2. Remplacement foret/fraise
3. Vérification alignement broche
4. Test à vide
5. Test en charge
6. Remise en service","Tête de perçage complète (réf. TPC-3314), Bague d'étanchéité","Clé Allen, Extracteur d'outil, Jauge de profondeur, Oscilloscope portable",OPERATIONNELLE,Hypothèse : L'usure prématurée est due à une utilisation continue au-delà du seuil recommandé (242 min > 200 min). Le matériau usiné pourrait également contribuer à l'abrasion accélérée.,1,Contrôle visuel + mesure rugosité,Former les opérateurs à la détection précoce des signes d'usure. Créer une checklist de début de poste.,Réviser le plan de maintenance préventive pour inclure un remplacement systématique à 180 min au lieu de 200 min.
5,2026-03-19 02:14:55+00,Outil en fin de vie détecté (219 min). Remplacement immédiat réalisé pour éviter défaillance en production. Contrôle qualité post-remplacement : OK.,5,2026-03-18 23:14:55+00,9,VALIDATED,2026-03-19 02:14:55+00,2026-03-19 03:14:55+00,2026-03-19 03:14:55+00,Usure outil critique détectée sur Inspection AOI (ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_INSPECTION_AOI_AUTOMATIQUE_TWF_001). Tool wear: 219 min. Remplacement préventif requis avant défaillance.,HAUTE,58,"Foret carbure Ø8mm (réf. FC-5281), Joint torique broche",5104,2026-03-18 23:14:55+00,13,2026-03-19 04:14:55+00,"""""",TWF,1,1,CMS,Qualité de coupe dégradée. Bavures excessives observées sur les pièces produites.,2026-03-18 17:14:55+00,Occasionnel,Démarrage de poste,90,314K,Arrêt partiel de ligne,646 EUR,0,Accumulation de copeaux ayant accéléré l'usure,HAUTE,83/100,PREVENTIVE,USURE_OUTIL,Conditions de coupe non optimales (vitesse/avance),"1. Consignation machine
2. Remplacement foret/fraise
3. Vérification alignement broche
4. Test à vide
5. Test en charge
6. Remise en service","Foret carbure Ø8mm (réf. FC-5281), Joint torique broche","Tournevis dynamométrique, Pied à coulisse digital, Lampe stroboscopique",OPERATIONNELLE,Hypothèse : L'usure prématurée est due à une utilisation continue au-delà du seuil recommandé (219 min > 200 min). Le matériau usiné pourrait également contribuer à l'abrasion accélérée.,1,Mesure dimensionnelle,Mettre en place un suivi automatique de l'usure outil via capteur intégré. Seuil d'alerte à 180 min.,Réviser le plan de maintenance préventive pour inclure un remplacement systématique à 180 min au lieu de 200 min.
6,2026-02-10 18:21:32+00,"Suite à détection automatique TWF (207 min), remplacement préventif de l'ensemble outil-porte-outil. Alignement vérifié, paramètres machine réajustés.",6,2026-02-10 17:21:32+00,10,VALIDATED,2026-02-10 18:21:32+00,2026-02-10 22:21:32+00,2026-02-10 22:21:32+00,Usure outil critique détectée sur Brasage (Wave Soldering) (ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_BRASAGE_WAVE_SOLDERING_TWF_001). Tool wear: 207 min. Remplacement préventif requis avant défaillance.,HAUTE,97,"Fraise en bout HSS Ø5mm (réf. FEB-8289), Vis de serrage M6",5105,2026-02-10 17:21:32+00,14,2026-02-10 23:21:32+00,"""""",TWF,1,1,CMS,Qualité de coupe dégradée. Bavures excessives observées sur les pièces produites.,2026-02-10 07:21:32+00,Occasionnel,En production,67,313K,Retard de production,2910 EUR,1,Fréquence de remplacement sous-estimée dans le plan de maintenance,HAUTE,74/100,PREVENTIVE,USURE_OUTIL,Conditions de coupe non optimales (vitesse/avance),"1. Arrêt machine sécurisé
2. Démontage de l'outil usé
3. Nettoyage du porte-outil
4. Installation du nouvel outil
5. Calibration et test de coupe
6. Validation qualité","Fraise en bout HSS Ø5mm (réf. FEB-8289), Vis de serrage M6","Clé dynamométrique, Micromètre, Comparateur à cadran, Niveau laser",OPERATIONNELLE,Hypothèse : L'usure prématurée est due à une utilisation continue au-delà du seuil recommandé (207 min > 200 min). Le matériau usiné pourrait également contribuer à l'abrasion accélérée.,1,Test en charge 30 min,Réduire l'intervalle de remplacement d'outil de 250 à 180 min. Ajouter un contrôle visuel à chaque changement d'équipe.,Envisager l'utilisation d'outils revêtus TiN pour une durée de vie prolongée. Budget estimé : +15% par outil mais -30% de remplacements.
7,2026-03-28 18:13:28+00,Usure outil (TWF) détectée : 249 min d'utilisation. Remplacement de la tête de coupe effectué. Tests post-intervention conformes. Machine opérationnelle.,7,2026-03-28 17:13:28+00,11,VALIDATED,2026-03-28 18:13:28+00,2026-03-28 21:13:28+00,2026-03-28 21:13:28+00,Usure outil critique détectée sur Convoyeur PCB (ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_CONVOYEUR_TRANSPORT_PCB_TWF_001). Tool wear: 249 min. Remplacement préventif requis avant défaillance.,HAUTE,140,"Foret carbure Ø5mm (réf. FC-6132), Joint torique broche",5106,2026-03-28 17:13:28+00,15,2026-03-28 22:13:28+00,"""""",TWF,1,1,CMS,Augmentation progressive du couple moteur. Alertes répétées sur le moniteur de charge.,2026-03-28 07:13:28+00,Première occurrence,Fin de lot,76,309K,Retard de production,1605 EUR,1,Usure naturelle de l'outil après utilisation prolongée,HAUTE,71/100,PREVENTIVE,USURE_OUTIL,Accumulation de copeaux ayant accéléré l'usure,"1. Isolement de la machine
2. Retrait de la tête de coupe
3. Inspection du mandrin
4. Montage nouvel outil
5. Réglage paramètres
6. Essai de production","Foret carbure Ø5mm (réf. FC-6132), Joint torique broche","Kit de démontage broche, Multimètre, Analyseur de vibrations",OPERATIONNELLE,Hypothèse : L'usure prématurée est due à une utilisation continue au-delà du seuil recommandé (249 min > 200 min). Le matériau usiné pourrait également contribuer à l'abrasion accélérée.,1,Test de coupe sur pièce échantillon,Mettre en place un suivi automatique de l'usure outil via capteur intégré. Seuil d'alerte à 180 min.,Réviser le plan de maintenance préventive pour inclure un remplacement systématique à 180 min au lieu de 200 min.
8,2026-03-28 05:16:00+00,"Suite à détection automatique TWF (202 min), remplacement préventif de l'ensemble outil-porte-outil. Alignement vérifié, paramètres machine réajustés.",8,2026-03-28 01:16:00+00,12,VALIDATED,2026-03-28 05:16:00+00,2026-03-28 08:16:00+00,2026-03-28 08:16:00+00,Usure outil critique détectée sur Distributeur de Pâte (ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_DISTRIBUTEUR_DE_PATE_PASTE_DISPENSER_TWF_001). Tool wear: 202 min. Remplacement préventif requis avant défaillance.,HAUTE,105,"Fraise en bout HSS Ø3mm (réf. FEB-7389), Vis de serrage M6",5107,2026-03-28 01:16:00+00,16,2026-03-28 02:16:00+00,"""""",TWF,1,0,CMS,Défauts de surface sur les composants traités. Rugosité hors tolérance.,2026-03-27 15:16:00+00,Occasionnel,En ralenti,70,309K,Retard de production,2945 EUR,1,Abrasion excessive due au matériau usiné (alliage dur),HAUTE,81/100,PREVENTIVE,USURE_OUTIL,Conditions de coupe non optimales (vitesse/avance),"1. Isolement de la machine
2. Retrait de la tête de coupe
3. Inspection du mandrin
4. Montage nouvel outil
5. Réglage paramètres
6. Essai de production","Fraise en bout HSS Ø3mm (réf. FEB-7389), Vis de serrage M6","Kit de démontage broche, Multimètre, Analyseur de vibrations",OPERATIONNELLE,Hypothèse : L'usure prématurée est due à une utilisation continue au-delà du seuil recommandé (202 min > 200 min). Le matériau usiné pourrait également contribuer à l'abrasion accélérée.,1,Test de coupe sur pièce échantillon,Former les opérateurs à la détection précoce des signes d'usure. Créer une checklist de début de poste.,Envisager l'utilisation d'outils revêtus TiN pour une durée de vie prolongée. Budget estimé : +15% par outil mais -30% de remplacements.
9,2026-01-17 18:37:44+00,"Remplacement préventif nécessaire dû à l'usure excessive du foret. Tool wear mesuré à 214 min, dépassant le seuil critique de 200 min. L'outil a été remplacé et la machine recalibrée avec succès.",9,2026-01-17 14:37:44+00,17,VALIDATED,2026-01-17 18:37:44+00,2026-01-17 21:37:44+00,2026-01-17 21:37:44+00,Usure outil critique détectée sur Dépanélisation (ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_DEPANELISATION_TWF_001). Tool wear: 214 min. Remplacement préventif requis avant défaillance.,HAUTE,49,"Foret carbure Ø6mm (réf. FC-3298), Joint torique broche",5108,2026-01-17 14:37:44+00,5,2026-01-17 17:37:44+00,"""""",TWF,1,1,CMS,Défauts de surface sur les composants traités. Rugosité hors tolérance.,2026-01-17 11:37:44+00,Récurrent (3ème fois),En production,80,311K,Retard de production,3594 EUR,1,Usure naturelle de l'outil après utilisation prolongée,HAUTE,79/100,PREVENTIVE,USURE_OUTIL,Conditions de coupe non optimales (vitesse/avance),"1. Isolement de la machine
2. Retrait de la tête de coupe
3. Inspection du mandrin
4. Montage nouvel outil
5. Réglage paramètres
6. Essai de production","Foret carbure Ø6mm (réf. FC-3298), Joint torique broche","Kit de démontage broche, Multimètre, Analyseur de vibrations",OPERATIONNELLE,Hypothèse : L'usure prématurée est due à une utilisation continue au-delà du seuil recommandé (214 min > 200 min). Le matériau usiné pourrait également contribuer à l'abrasion accélérée.,1,Test de coupe sur pièce échantillon,Mettre en place un suivi automatique de l'usure outil via capteur intégré. Seuil d'alerte à 180 min.,Réviser le plan de maintenance préventive pour inclure un remplacement systématique à 180 min au lieu de 200 min.
10,2026-03-02 13:14:23+00,Maintenance préventive TWF : usure à 225 min. Remplacement de la fraise et inspection du mandrin. Aucune anomalie secondaire constatée. Remise en production.,10,2026-03-02 04:14:23+00,18,VALIDATED,2026-03-02 13:14:23+00,2026-03-02 17:14:23+00,2026-03-02 17:14:23+00,Usure outil critique détectée sur Station de Retouche (ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_STATION_DE_RETOUCHE_REWORK_TWF_001). Tool wear: 225 min. Remplacement préventif requis avant défaillance.,HAUTE,132,"Insert carbure (réf. IC-9115), Porte-plaquette, Liquide de coupe 5L",5109,2026-03-02 04:14:23+00,6,2026-03-02 07:14:23+00,"""""",TWF,1,1,CMS,Échauffement anormal de la tête d'outil. Température de process élevée.,2026-03-01 20:14:23+00,Première occurrence,Fin de lot,94,311K,Retard de production,780 EUR,0,Abrasion excessive due au matériau usiné (alliage dur),HAUTE,94/100,PREVENTIVE,USURE_OUTIL,Abrasion excessive due au matériau usiné (alliage dur),"1. Arrêt machine sécurisé
2. Démontage de l'outil usé
3. Nettoyage du porte-outil
4. Installation du nouvel outil
5. Calibration et test de coupe
6. Validation qualité","Insert carbure (réf. IC-9115), Porte-plaquette, Liquide de coupe 5L","Tournevis dynamométrique, Pied à coulisse digital, Lampe stroboscopique",OPERATIONNELLE,Hypothèse : L'usure prématurée est due à une utilisation continue au-delà du seuil recommandé (225 min > 200 min). Le matériau usiné pourrait également contribuer à l'abrasion accélérée.,1,Test en charge 30 min,Former les opérateurs à la détection précoce des signes d'usure. Créer une checklist de début de poste.,Envisager l'utilisation d'outils revêtus TiN pour une durée de vie prolongée. Budget estimé : +15% par outil mais -30% de remplacements.
