nom;type;emplacement;zone;sous_zone;ordre;date_derniere_maintenance;date_prochaine_maintenance;statut
ZONE_CMS1_CMS_LINE_1_DEPILEUR;Depileur;ZONE CMS1;Zone CMS1 - COMPONENT SURFACE MOUNTING;CMS LINE 1 (e.g., BBS - Broadband Products);1;2026-03-15T08:00:00;2026-04-15T08:00:00;OPERATIONNELLE
ZONE_CMS1_CMS_LINE_1_MACHINE_DE_SERIGRAPHIE;Machine de Serigraphie;ZONE CMS1;Zone CMS1 - COMPONENT SURFACE MOUNTING;CMS LINE 1 (e.g., BBS - Broadband Products);2;2026-03-10T08:00:00;2026-04-10T08:00:00;OPERATIONNELLE
ZONE_CMS1_CMS_LINE_1_MACHINE_DE_POSE;Machine de Pose;ZONE CMS1;Zone CMS1 - COMPONENT SURFACE MOUNTING;CMS LINE 1 (e.g., BBS - Broadband Products);3;2026-03-05T08:00:00;2026-04-05T08:00:00;OPERATIONNELLE
ZONE_CMS1_CMS_LINE_1_MACHINE_SPI;Machine SPI;ZONE CMS1;Zone CMS1 - COMPONENT SURFACE MOUNTING;CMS LINE 1 (e.g., BBS - Broadband Products);4;2026-03-20T08:00:00;2026-04-20T08:00:00;OPERATIONNELLE
ZONE_CMS1_CMS_LINE_1_MACHINE_2D_SCANNER;Machine 2D Scanner;ZONE CMS1;Zone CMS1 - COMPONENT SURFACE MOUNTING;CMS LINE 1 (e.g., BBS - Broadband Products);5;2026-03-18T08:00:00;2026-04-18T08:00:00;OPERATIONNELLE
ZONE_CMS1_CMS_LINE_1_MACHINE_AOI_3D;Machine AOI 3D;ZONE CMS1;Zone CMS1 - COMPONENT SURFACE MOUNTING;CMS LINE 1 (e.g., BBS - Broadband Products);6;2026-03-12T08:00:00;2026-04-12T08:00:00;OPERATIONNELLE
ZONE_CMS1_CMS_LINE_1_FOUR_DE_REFUSIONS;Four de Refusions;ZONE CMS1;Zone CMS1 - COMPONENT SURFACE MOUNTING;CMS LINE 1 (e.g., BBS - Broadband Products);7;2026-03-08T08:00:00;2026-04-08T08:00:00;OPERATIONNELLE
ZONE_CMS1_CMS_LINE_1_POSTE_INSERTION_MANUELLE;Poste Insertion Manuelle;ZONE CMS1;Zone CMS1 - COMPONENT SURFACE MOUNTING;CMS LINE 1 (e.g., BBS - Broadband Products);8;2026-03-25T08:00:00;2026-04-25T08:00:00;OPERATIONNELLE
ZONE_CMS1_CMS_LINE_1_MACHINE_DE_BRASSAGE_A_LA_VAGUE;Machine de Brassage a la Vague;ZONE CMS1;Zone CMS1 - COMPONENT SURFACE MOUNTING;CMS LINE 1 (e.g., BBS - Broadband Products);9;2026-03-22T08:00:00;2026-04-22T08:00:00;OPERATIONNELLE
ZONE_CMS1_CMS_LINE_2_DEPILEUR;Depileur;ZONE CMS1;Zone CMS1 - COMPONENT SURFACE MOUNTING;CMS LINE 2 (e.g., AVS - Audio Video Products);1;2026-03-14T08:00:00;2026-04-14T08:00:00;OPERATIONNELLE
