id,nom,emplacement,statut,type,date_derniere_maintenance,date_prochaine_maintenance,image_url,created_at,air_temperature,process_temperature,rotational_speed,torque,tool_wear,zone,sous_zone,ordre
100,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_D_PILEUR_CARD_LOADER_001,"Bâtiment A, Hall CMS1, Ligne 1, Poste 04",EN MAINTENANCE,Dépileur / Card Loader,2026-01-22 01:05:10+00,2026-09-16 03:35:12+00,https://www.keysight.com/content/dam/keysight/images/products/34461A.png,2025-12-05 02:12:41+00,297.04,307,1500,35.55,8,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",1
101,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_S_RIGRAPHIE_DEK_MPM_001,"Bâtiment A, Hall CMS1, Ligne 1, Poste 32",OPERATIONNELLE,Sérigraphie DEK MPM,2025-12-29 21:40:02+00,2026-07-07 13:06:45+00,https://www.smtnet.com/media/images/dek-horizon-03ix-screen-printer.jpg,2025-01-27 03:07:34+00,299.22,305.64,1428,35.17,2,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",2
102,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_POSE_PICK_PLACE_001,"Bâtiment B, Hall CMS1, Ligne 1, Poste 42",OPERATIONNELLE,Pick & Place,2026-02-18 20:43:09+00,2026-08-13 09:11:06+00,https://www.koh-young.com/images/products/zenith-3d-spi.jpg,2024-12-09 21:53:17+00,297.47,306.27,1517,35.68,31,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",3
103,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_FOUR_DE_REFUSION_REFLOW_OVEN_001,"Bâtiment A, Hall CMS1, Ligne 2, Poste 50",OPERATIONNELLE,Four de Refusion (Reflow Oven),2025-11-07 00:01:04+00,2026-08-23 05:00:24+00,https://www.rohde-schwarz.com/images/products/test-measurement/fsw-signal-spectrum.jpg,2025-07-24 13:11:34+00,295.07,307.35,1532,38.03,43,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",4
104,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_INSPECTION_AOI_AUTOMATIQUE_001,"Bâtiment B, Hall CMS1, Ligne 1, Poste 35",OPERATIONNELLE,Inspection AOI,2025-11-03 01:53:08+00,2026-09-19 01:41:32+00,https://www.ersa.com/fileadmin/ersa/images/products/reflow-soldering/HOTFLOW-3-20.png,2024-05-27 09:28:26+00,297.61,309.26,1434,36.03,23,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",5
105,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_BRASAGE_WAVE_SOLDERING_001,"Bâtiment A, Hall CMS1, Ligne 2, Poste 38",ARRÊTÉE,Brasage (Wave Soldering),2026-02-07 10:33:26+00,2026-06-05 05:37:32+00,https://www.keysight.com/content/dam/keysight/images/products/34461A.png,2025-05-15 13:06:58+00,296.99,306.89,1599,42.54,27,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",6
106,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_CONVOYEUR_TRANSPORT_PCB_001,"Bâtiment A, Hall CMS1, Ligne 2, Poste 06",EN MAINTENANCE,Convoyeur PCB,2026-03-10 07:11:08+00,2026-09-22 05:52:48+00,https://www.ersa.com/fileadmin/ersa/images/products/reflow-soldering/HOTFLOW-3-20.png,2024-12-31 06:12:26+00,296.28,309.63,1585,35.65,22,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",7
107,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_DISTRIBUTEUR_DE_PATE_PASTE_DISPENSER_001,"Bâtiment B, Hall CMS1, Ligne 2, Poste 05",EN PANNE,Distributeur de Pâte,2025-10-23 20:02:14+00,2026-05-10 15:26:05+00,https://www.yamaha-motor-im.com/wp-content/uploads/YSM20R.jpg,2025-10-16 19:33:43+00,296.94,307.99,1556,39.43,44,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",8
108,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_DEPANELISATION_001,"Bâtiment B, Hall CMS1, Ligne 2, Poste 13",OPERATIONNELLE,Dépanélisation,2026-01-15 13:18:12+00,2026-08-10 08:39:17+00,https://www.keysight.com/content/dam/keysight/images/products/34461A.png,2024-12-21 05:53:31+00,296.57,305.4,1547,44.14,36,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",9
109,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_STATION_DE_RETOUCHE_REWORK_001,"Bâtiment A, Hall CMS1, Ligne 1, Poste 11",OPERATIONNELLE,Station de Retouche,2026-03-27 12:46:13+00,2026-09-30 17:56:56+00,https://www.fujielectric.com/products/smt/nxt-iii/images/main.jpg,2024-09-01 20:57:37+00,295.23,308.65,1527,40.86,46,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",10
110,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_NETTOYEUR_ULTRASONIQUE_001,"Bâtiment B, Hall CMS1, Ligne 2, Poste 20",EN MAINTENANCE,Nettoyeur Ultrasonique,2026-03-21 16:46:21+00,2026-07-07 07:05:04+00,https://www.smtnet.com/media/images/dek-horizon-03ix-screen-printer.jpg,2025-07-03 17:27:51+00,299.89,308.75,1598,36.53,0,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",11
111,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_COLLAGE_ADHESIVE_DISPENSER_001,"Bâtiment A, Hall CMS1, Ligne 2, Poste 22",OPERATIONNELLE,Collage / Adhesive Dispenser,2026-03-28 23:27:46+00,2026-06-27 22:05:08+00,https://www.ipg-photonics.com/images/products/ylr-series-laser.jpg,2025-01-09 05:59:15+00,298.31,305.34,1442,35.23,20,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",12
112,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_SYSTEME_DE_MARQUAGE_LASER_001,"Bâtiment B, Hall CMS1, Ligne 2, Poste 12",EN MAINTENANCE,Marquage Laser,2026-02-22 00:32:15+00,2026-09-22 12:04:41+00,https://www.koh-young.com/images/products/zenith-3d-spi.jpg,2025-12-18 03:03:24+00,296.68,306.22,1554,39.3,16,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",13
113,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_FOUR_DE_SECHAGE_DRYING_OVEN_001,"Bâtiment A, Hall CMS1, Ligne 1, Poste 01",EN MAINTENANCE,Four de Séchage,2026-02-14 13:39:51+00,2026-07-08 02:09:15+00,https://www.national-instruments.com/images/products/pxi-vst.png,2025-12-14 14:09:12+00,298.25,309.99,1561,36.5,41,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",14
114,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_DECOUPE_ROUTER_001,"Bâtiment B, Hall CMS1, Ligne 2, Poste 25",EN MAINTENANCE,Découpe Router,2025-12-26 05:50:23+00,2026-08-03 16:10:51+00,https://www.tektronix.com/content/dam/tek/images/products/oscilloscopes/mso4-series.png,2024-10-11 09:06:53+00,295.77,307.47,1560,36.03,16,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",15
115,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_CHARGEUR_DE_COMPOSANTS_FEEDER_001,"Bâtiment A, Hall CMS1, Ligne 3, Poste 29",OPERATIONNELLE,Chargeur de Composants,2026-03-22 13:09:23+00,2026-06-10 00:09:11+00,https://www.omron.com/global/en/technology/images/vt-s730.jpg,2025-05-07 10:01:39+00,296.64,308.34,1563,39.9,41,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",16
116,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_STATION_DE_VERIFICATION_VISUELLE_001,"Bâtiment A, Hall CMS1, Ligne 2, Poste 25",EN MAINTENANCE,Vérification Visuelle,2025-10-02 01:15:04+00,2026-09-06 06:00:02+00,https://www.tektronix.com/content/dam/tek/images/products/oscilloscopes/mso4-series.png,2024-07-18 03:02:42+00,297.27,307.34,1481,40.36,42,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",17
117,ZONE_CMS1_CMS_LINE_1_E_G_BBS_BROADBAND_PRODUCTS_MACHINE_DE_PLACEMENT_BGA_001,"Bâtiment A, Hall CMS1, Ligne 2, Poste 16",OPERATIONNELLE,Placement BGA,2025-10-08 05:52:04+00,2026-08-14 00:53:06+00,https://www.branson-ultrasonics.com/images/products/ultrasonic-cleaner.jpg,2025-12-04 12:07:21+00,298.34,305.04,1481,40.81,39,ZONE CMS1 - COMPONENT SURFACE MOUNTING,"CMS LINE 1 (e.g., BBS - Broadband Products)",18
